candidate_id,candidate_name,candidate_url,party,criminal_cases,education,age,total_assets,liabilities,constituency,constituency_id,district,total_assets_inr,liabilities_inr,age_int,criminal_cases_int
2964,Elaiyaraja C,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2964,IND,0,Graduate Professional,35,"Rs 6,51,483 ~ 6 Lacs+",Rs 0 ~,ARIYALUR,1,ARIYALUR,6514836.0,0.0,35,0
654,Jothibasu K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=654,IND,0,Doctorate,42,"Rs 1,02,90,000 ~ 1 Crore+","Rs 4,00,000 ~ 4 Lacs+",ARIYALUR,1,ARIYALUR,102900001.0,4000004.0,42,0
2965,Krishnamoorthy C,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2965,IND,0,Illiterate,43,,,ARIYALUR,1,ARIYALUR,,,43,0
2966,Kumar K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2966,IND,0,Graduate,53,"Rs 1,53,25,493 ~ 1 Crore+","Rs 2,26,818 ~ 2 Lacs+",ARIYALUR,1,ARIYALUR,153254931.0,2268182.0,53,0
1147,Latha Balu,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1147,DMK,0,Post Graduate,49,"Rs 1,51,24,444 ~ 1 Crore+","Rs 8,23,300 ~ 8 Lacs+",ARIYALUR,1,ARIYALUR,151244441.0,8233008.0,49,0
13,Pugazhendhi D,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=13,Naam Tamilar Katchi,1,Others,26,,,ARIYALUR,1,ARIYALUR,,,26,1
1148,Rajendran S,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1148,AIADMK,9,8th Pass,66,"Rs 3,64,20,864 ~ 3 Crore+","Rs 27,35,706 ~ 27 Lacs+",ARIYALUR,1,ARIYALUR,364208643.0,273570627.0,66,9
2968,Rajkumar K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2968,IND,0,Illiterate,40,"Rs 4,30,649 ~ 4 Lacs+",Rs 0 ~,ARIYALUR,1,ARIYALUR,4306494.0,0.0,40,0
2967,Semmalai T,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2967,IND,1,10th Pass,51,"Rs 42,88,000 ~ 42 Lacs+","Rs 7,85,000 ~ 7 Lacs+",ARIYALUR,1,ARIYALUR,428800042.0,7850007.0,51,1
764,Sivakumar M,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=764,Tamilaga Vettri Kazhagam,2,Graduate,48,"Rs 97,26,649 ~ 97 Lacs+","Rs 26,14,500 ~ 26 Lacs+",ARIYALUR,1,ARIYALUR,972664997.0,261450026.0,48,2
2961,Stalin V,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2961,BSP,0,Graduate,36,,,ARIYALUR,1,ARIYALUR,,,36,0
2962,Sudhakar M,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2962,Tamizhaga Vaazhvurimai Katchi,0,10th Pass,42,"Rs 84,14,700 ~ 84 Lacs+","Rs 76,94,911 ~ 76 Lacs+",ARIYALUR,1,ARIYALUR,841470084.0,769491176.0,42,0
653,Thanga. Shanmuga Sundaram,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=653,Naadaalum Makkal Katchi,5,Post Graduate,48,"Rs 1,48,37,499 ~ 1 Crore+",Rs 0 ~,ARIYALUR,1,ARIYALUR,148374991.0,0.0,48,5
2969,Vetrivel G,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2969,IND,0,Graduate,48,,,ARIYALUR,1,ARIYALUR,,,48,0
2976,Anandhakumar R.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2976,IND,0,Others,56,"Rs 65,00,000 ~ 65 Lacs+","Rs 35,000 ~ 35 Thou+",JAYANKONDAM,2,ARIYALUR,650000065.0,3500035.0,56,0
2970,Azhagesan V.R.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2970,Desiya Makkal Sakthi Katchi,0,Post Graduate,66,"Rs 18,62,500 ~ 18 Lacs+","Rs 3,24,000 ~ 3 Lacs+",JAYANKONDAM,2,ARIYALUR,186250018.0,3240003.0,66,0
2980,Chanthirasekar S.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2980,IND,0,Illiterate,45,,,JAYANKONDAM,2,ARIYALUR,,,45,0
443,Chinnadurai S.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=443,BSP,0,12th Pass,53,"Rs 11,74,169 ~ 11 Lacs+",Rs 0 ~,JAYANKONDAM,2,ARIYALUR,117416911.0,0.0,53,0
2979,Gurunathan N.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2979,IND,0,5th Pass,53,"Rs 3,000 ~ 3 Thou+",Rs 0 ~,JAYANKONDAM,2,ARIYALUR,30003.0,0.0,53,0
2977,Isac Newtan J.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2977,IND,0,Others,30,,,JAYANKONDAM,2,ARIYALUR,,,30,0
2975,Jayabalan G.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2975,Vada Tamil Nadu Munnetra Katchi,0,Graduate,66,"Rs 93,63,540 ~ 93 Lacs+","Rs 6,61,490 ~ 6 Lacs+",JAYANKONDAM,2,ARIYALUR,936354093.0,6614906.0,66,0
2978,Kannan K.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2978,IND,1,Graduate,39,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,JAYANKONDAM,2,ARIYALUR,1200012.0,0.0,39,1
2971,Kavitha Rajendran G.,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2971,Tamilaga Vettri Kazhagam,0,10th Pass,65,"Rs 2,82,34,030 ~ 2 Crore+","Rs 57,41,610 ~ 57 Lacs+",JAYANKONDAM,2,ARIYALUR,282340302.0,574161057.0,65,0
