candidate_id,candidate_name,party,constituency,district,age_detail,age_int,education,education_full,self_profession,spouse_profession,s_o_d_o_w_o,voter_enrolled,candidate_url,assets_inr,liab_inr,net_worth_inr,liab_to_asset_ratio,movable_total_inr,movable_cash_inr,movable_deposits_inr,movable_shares_inr,movable_jewellery_inr,movable_vehicles_inr,movable_loans_given_inr,movable_company_holdings_count,immovable_total_inr,immovable_agri_land_inr,immovable_non_agri_land_inr,immovable_commercial_bldg_inr,immovable_residential_bldg_inr,immovable_zero_cost_non_inherited_count,immovable_outside_tn_flag,liab_bank_loans_inr,liab_income_tax_dues_inr,liab_govt_dept_dues_inr,liab_disputed_liability_inr,liquid_assets_inr,liquid_share_of_movable,movable_self_inr,movable_spouse_inr,itr_self_pan_given,itr_self_5y_total,itr_self_latest,itr_spouse_5y_total,wealth_to_income_ratio,criminal_total_cases,criminal_pending,criminal_convicted,criminal_charges_framed,criminal_serious_count,criminal_special_acts_count,criminal_women_court_count,criminal_repeat_station,appeal_filed_on_conviction,all_sections,all_special_acts,flag_assets_not_disclosed,flag_charges_framed,flag_convicted,flag_crorepati,flag_disputed_liability,flag_education_unknown,flag_govt_dues,flag_has_criminal_case,flag_high_cash,flag_liab_not_disclosed,flag_many_companies,flag_no_itr_filed,flag_pan_not_given,flag_profession_blank,flag_serious_crime,flag_special_act,flag_spouse_housewife_with_high_assets,flag_tax_dues,flag_voter_constituency_mismatch,flag_women_court,redflag_score,assets_total_inr,liabilities_total_inr,num_criminal_cases,education_summary,age_summary,criminal_cases_summary,total_assets_summary,liabilities_summary,criminal_cases_int,total_assets_inr,liabilities_inr,total_assets,liabilities,assets_total_inr_clean,liab_total_inr_clean,movable_lic_inr,movable_nss_inr,movable_other_movable_inr,immovable_other_immovable_inr,liab_other_liability_inr,liab_total_inr
1971,S. Sureshkumar,Makkalatchi Katchi,PERAMBUR,MYLAPORE,42,42,Graduate Professional,,"Lowyer, Chennai High Court, Chennai - 600104",Un-Married,Samuthiram,"Alankulam constituency, at Serial no 721 in Part no 263",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1971,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,False,,"341, 294b, 323, 353, 225, 352, 506(ii)",,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,8,,,1,Graduate Professional,42,1,,,1,,,,,,,,,,,,
3839,Nadarajan K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,SANKARAPURAM,RISHIVANDIYAM,67,67,Illiterate,,Agriculture,House Wife,Karuppapillai,"K.Natarajan constituency, at Serial no 645 in Part no 266",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3839,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,,"294b, 323, 355, 506",,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,8,,,1,Illiterate,67,1,,,1,,,,,,,,,,,,
222,Aadhav Arjuna,Tamilaga Vettri Kazhagam,VILLIVAKKAM,VELACHERY,43,43,Graduate,Graduate,Business,Business,Rajendran,"20 Thousand Lights constituency, at Serial no 553 in Part no 243",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=222,5349036735.0,262674946.0,5086361789.0,0.04910696243330249,68912134.0,18213381.0,0.0,90125.0,3916.0,5052.0,2791920.0,36.0,67.0,0.0,17.0,50.0,0.0,3.0,True,0.0,0.0,0.0,13829110.0,18217297.0,0.2643554326731487,23074672.0,29793894.0,Y,675743700,111073590,386982130,7.915777438990552,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,,"105, 110, 125(B), 223",,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,7,5349036735.0,300523446.0,1,Graduate,43,1,"Rs 5,34,90,36,735 ~ 534 Crore+","Rs 26,26,74,946 ~ 26 Crore+",1,5349036735534.0,26267494626.0,"Rs 5,34,90,36,735 ~ 534 Crore+","Rs 26,26,74,946 ~ 26 Crore+",5349036735.0,262674946.0,0.0,0.0,47807740.0,0.0,290264902.0,304094012.0
13,Pugazhendhi D,Naam Tamilar Katchi,ARIYALUR,ARIYALUR,26,26,Others,,Agriculture,,DEVENDRAN,"149 ARIYALUR constituency, at Serial no 737 in Part no 130",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=13,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,,"126(2), 296(B), 115(2), 351(2)",,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,7,,,1,Others,26,1,,,1,,,,,,,,,,,,
1939,K Thavaraj,Tamizhaga Vaazhvurimai Katchi,UTHANGARAI (SC),THALLY,41,41,5th Pass,,Carpenter,Housewife,Kanthiya,"51 Uthangarai constituency, at Serial no 894 in Part no 244",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1939,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,,"147, 148, 427, 153",,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,7,,,1,5th Pass,41,1,,,1,,,,,,,,,,,,
221,Maria Stella,Naam Tamilar Katchi,VILAVANCODE,PADMANABHAPURAM,44,44,Post Graduate,,NIL,Labour,D Christopher,"Vilavancode constituency, at Serial no 360 in Part no 44",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=221,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,,"189(2), 296(b), 126(2), 132",,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,7,,,1,Post Graduate,44,1,,,1,,,,,,,,,,,,
2582,V. Ramakrishnan,IND,CHENGALPATTU,CHENGALPATTU,45,45,Others,,Social Service & Driver,Typist (Govt office Temporary Work),R.Venkatesan,"Chengalpattu constituency, at Serial no 533 in Part no 353",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2582,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,,"341, 143, 188",,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,7,,,1,Others,45,1,,,1,,,,,,,,,,,,
706,C. Rajendran,IND,ERODE (WEST),ERODE (EAST),69,69,Post Graduate,,Agricuiture,Teacher Private School,Chinnapa Gounder,"99 Erode(west) constituency, at Serial no 152 in Part no 120",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=706,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,,"364, 368, 120B, 307",,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,7,,,1,Post Graduate,69,1,,,1,,,,,,,,,,,,
1389,V Senthilbalaji,DMK,COIMBATORE (SOUTH),COIMBATORE (NORTH),50,50,12th Pass,,Agriculture & Social Service,House Wife,P.Velusamy,"Karur constituency, at Serial no 792 in Part no 23",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1389,45422256.0,3252247.0,42170009.0,0.07160029655946636,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,6131878,1274294,1545689,7.407560293926266,13.0,13.0,0.0,1.0,12.0,4.0,0.0,True,,"120B, 420, 109; 120B, 420, 465, 468, 471, 109; 143, 147, 148, 149, 353, 307; 143, 188; 143, 270; 143, 341, 286; 143, 341, 286, 269; 153, 189, 505(1)(b), 506(1), 353, 511; 341, 294b, 506(1); 406, 420, 34, 406, 419, 420, 34, 120B, 420, 465, 466, 471, 201, 109","Section 3 and 4 of Prevention of Money Laundering Act; Section 7, 12 and 13(2) r/w 13(1)(d) of Prevention of Corruption Act, 1988; Section 7, 12 and 13(2) r/w 13(1)(d) of Prevention of Corruption Act, 1988 r/w Sec. 13(2) and r/w 13(1)(d) of Prevention of Corruption Act, 1988; Section 7, 12 and 13(2) r/w 13(1)(d) of Prevention of Corruption Act, 1988.",False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,6,,,13,12th Pass,50,13,"Rs 4,54,22,256 ~ 4 Crore+","Rs 32,52,247 ~ 32 Lacs+",13,454222564.0,325224732.0,"Rs 4,54,22,256 ~ 4 Crore+","Rs 32,52,247 ~ 32 Lacs+",45422256.0,3252247.0,,,,,,
3123,Manavai Kannan. M,CPI(ML) Red Star,KANNIYAKUMARI,COLACHAL,39,39,10th Pass,,Proprietorship,,T.Mayaperumal,"231-Kanyakumari constituency, at Serial no 120 in Part no 163",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=3123,35333108.0,156291.0,35176817.0,0.004423358398021482,,,,,,,,,,,,,,,,,,,,0.0,,,,Y,0,0,0,,8.0,8.0,0.0,0.0,7.0,0.0,3.0,True,,"126(2), 191(2); 126(2), 296(b), 351(3); 188, 143, 270; 189(2), 292; 191(2), 296(b), 132, 35(2); 294b; 294b, 387, 306(i); 296(b), 126(2), 115(2), 351(3)",,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,6,,,8,10th Pass,39,8,"Rs 3,53,33,108 ~ 3 Crore+","Rs 1,56,291 ~ 1 Lacs+",8,353331083.0,1562911.0,"Rs 3,53,33,108 ~ 3 Crore+","Rs 1,56,291 ~ 1 Lacs+",35333108.0,156291.0,,,,,,
