candidate_id,candidate_name,constituency,district,party,s_o_d_o_w_o,age_detail,voter_enrolled,self_profession,spouse_profession,education_full,assets_total_inr,liabilities_total_inr,num_criminal_cases,education_summary,age_summary,criminal_cases_summary,total_assets_summary,liabilities_summary,candidate_url
2964,Elaiyaraja C,ARIYALUR,ARIYALUR,IND,Chakkaravarthi,35,"Jayangkondam constituency, at Serial no 502 in Part no 168",Lawyer,NIL,,,,0,Graduate Professional,35,0,"Rs 6,51,483 ~ 6 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2964
654,Jothibasu K,ARIYALUR,ARIYALUR,IND,Karuppaiyan,42,"Ariyalur constituency, at Serial no 289 in Part no 64",Managing Director,"Assistant Professor, Department Of Microbiology , Central University Of Tamil Nadu",,,,0,Doctorate,42,0,"Rs 1,02,90,000 ~ 1 Crore+","Rs 4,00,000 ~ 4 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=654
2965,Krishnamoorthy C,ARIYALUR,ARIYALUR,IND,Chinnasamy,43,"Ariyalur constituency, at Serial no 43 in Part no 38",Agriculture Wage,NIL,,,,0,Illiterate,43,0,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2965
2966,Kumar K,ARIYALUR,ARIYALUR,IND,Kulanthaivelan,53,"Ariyalur constituency, at Serial no 668 in Part no 190","Chief Executive Officer - Schella Farmer Producer Company Limited, Viragalur, Ariyalur, Business Consultancy Services For Export Imports, Ariyalur, Schella Fashions - Garment Manufacturing Business, Ariyalur, Founder President - Schella Foundation Skill","Diploma Elementary Education Teacher - Del Ed, Director - Schella Farmer Producer Company Limited, Ariyalur, Central Govt Tot Certified Trainer For Vocational Training.",,,,0,Graduate,53,0,"Rs 1,53,25,493 ~ 1 Crore+","Rs 2,26,818 ~ 2 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2966
1147,Latha Balu,ARIYALUR,ARIYALUR,DMK,Balasubramanian,49,"Ariyalur constituency, at Serial no 874 in Part no 235",Social Servies Politics Tailoring Training,Agriculture,,,,0,Post Graduate,49,0,"Rs 1,51,24,444 ~ 1 Crore+","Rs 8,23,300 ~ 8 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1147
13,Pugazhendhi D,ARIYALUR,ARIYALUR,Naam Tamilar Katchi,DEVENDRAN,26,"149 ARIYALUR constituency, at Serial no 737 in Part no 130",Agriculture,NA,,,,1,Others,26,1,,,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=13
1148,Rajendran S,ARIYALUR,ARIYALUR,AIADMK,K. Subbarayan,66,"Ariyalur constituency, at Serial no 710 in Part no 29",Member Of The Legislative Assembly From 2016 To 2021 Ariyalur Legislative Assembly Constituency,House Wife,,,,9,8th Pass,66,9,"Rs 3,64,20,864 ~ 3 Crore+","Rs 27,35,706 ~ 27 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=1148
2968,Rajkumar K,ARIYALUR,ARIYALUR,IND,Karuppaiah S,40,"Alagudi constituency, at Serial no 91 in Part no 218",Agriculture,NIL,,,,0,Illiterate,40,0,"Rs 4,30,649 ~ 4 Lacs+",Rs 0 ~,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2968
2967,Semmalai T,ARIYALUR,ARIYALUR,IND,Thangavel,51,"Ariyalur constituency, at Serial no 21 in Part no 89",Agriculture,House Wife,,,,1,10th Pass,51,1,"Rs 42,88,000 ~ 42 Lacs+","Rs 7,85,000 ~ 7 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2967
764,Sivakumar M,ARIYALUR,ARIYALUR,Tamilaga Vettri Kazhagam,Muthusamy,48,"149 Ariyalur constituency, at Serial no 367 in Part no 183",Agriculture,Housewife,,,,2,Graduate,48,2,"Rs 97,26,649 ~ 97 Lacs+","Rs 26,14,500 ~ 26 Lacs+",https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=764
