district,constituency,constituency_id,url
ARIYALUR,ARIYALUR,1,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=1
ARIYALUR,JAYANKONDAM,2,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=2
CHENGALPATTU,CHENGALPATTU,23,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=23
CHENGALPATTU,CHEYYUR (SC),25,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=25
CHEYYUR (SC),MADURANTAKAM (SC),26,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=26
MADURANTAKAM (SC),PALLAVARAM,21,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=21
PALLAVARAM,SHOLINGANALLUR,20,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=20
SHOLINGANALLUR,TAMBARAM,22,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=22
TAMBARAM,THIRUPORUR,24,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=24
CHENNAI,ANNA NAGAR,14,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=14
ANNA NAGAR,CHEPAUK-THIRUVALLIKENI,12,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=12
CHEPAUK-THIRUVALLIKENI,DR.RADHAKRISHNAN NAGAR,10,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=10
DR.RADHAKRISHNAN NAGAR,EGMORE (SC),9,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=9
EGMORE (SC),HARBOUR,11,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=11
HARBOUR,KOLATHUR,6,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=6
KOLATHUR,MYLAPORE,19,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=19
MYLAPORE,PERAMBUR,5,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=5
PERAMBUR,ROYAPURAM,3,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=3
ROYAPURAM,SAIDAPET,16,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=16
SAIDAPET,THIRU-VI-KA-NAGAR (SC),8,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=8
THIRU-VI-KA-NAGAR (SC),THIYAGARAYANAGAR,18,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=18
THIYAGARAYANAGAR,THOUSAND LIGHTS,13,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=13
THOUSAND LIGHTS,VELACHERY,4,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=4
VELACHERY,VILLIVAKKAM,7,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=7
VILLIVAKKAM,VIRUGAMPAKKAM,15,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=15
COIMBATORE,COIMBATORE (NORTH),27,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=27
COIMBATORE (NORTH),COIMBATORE (SOUTH),28,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=28
COIMBATORE (SOUTH),KAVUNDAMPALAYAM,29,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=29
KAVUNDAMPALAYAM,KINATHUKADAVU,30,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=30
KINATHUKADAVU,METTUPALAYAM,31,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=31
METTUPALAYAM,POLLACHI,32,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=32
POLLACHI,SINGANALLUR,33,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=33
SINGANALLUR,SULUR,34,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=34
SULUR,THONDAMUTHUR,35,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=35
THONDAMUTHUR,VALPARAI (SC),36,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=36
CUDDALORE,BHUVANAGIRI,44,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=44
BHUVANAGIRI,CHIDAMBARAM,45,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=45
CHIDAMBARAM,CUDDALORE,42,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=42
CUDDALORE,KATTUMANNARKOIL (SC),46,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=46
KATTUMANNARKOIL (SC),KURINJIPADI,43,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=43
KURINJIPADI,NEYVELI,40,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=40
NEYVELI,PANRUTI,41,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=41
