candidate_id,section,sr_no,description,self,spouse,huf,dependent1,dependent2,dependent3,total,total_inr
4026,Details of Immovable Assets,i,Agricultural Land,Nil,"Pavitham Village SY No. 38/2A, 38/3A, 38/3b, 38/9A, 49/3A Total Area 3.58 Cent Built Up Area Whether Inherited N Purchase Date 2023-04-01 Purchase Cost 450000.00 Development Cost 0.00 5,00,000 5 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,00,000 5 Lacs+",5000005.0
4026,Details of Immovable Assets,ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Immovable Assets,iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Immovable Assets,iv,Residential Buildings,Nil,"Plot No.193 Total Area 385 sq.ft Built Up Area Whether Inherited N Purchase Date 2022-05-26 Purchase Cost 1600000.00 Development Cost 0.00 18,50,000 18 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,50,000 18 Lacs+",185000018.0
4026,Details of Immovable Assets,v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Immovable Assets,Total Current Market Value of (i) to (v) (as per Affidavit),Nil,"23,50,000 23 Lacs+",Nil,Nil,Nil,Nil,"Rs 23,50,000 23 Lacs+",,
4026,Details of Immovable Assets,Totals Calculated,Nil,"Rs 23,50,000 23 Lacs+",Nil,Nil,Nil,Nil,"Rs 23,50,000 23 Lacs+",,
222,Details of Immovable Assets,i,Agricultural Land,Nil,"Moolathara Village, Kerala S.No: 229/4 Old S.No. 370/1 Total Area 5.92 Acre Built Up Area Whether Inherited N Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 39,00,000 39 Lacs+ Karumathampatti Total Area 6.63 Acre Built Up Area Whether Inherited Y Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 29,13,32,765 29 Crore+ Kuzhipanthandalam, Chengalpattu Dist. Total Area 12.43 Acre Built Up Area Whether Inherited N Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 16,19,00,000 16 Crore+ Kuzhipanthandalam, Chengalpattu Dist. Total Area 2.42 Acre Built Up Area Whether Inherited N Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 2,90,40,000 2 Crore+ Kuzhipanthandalam, Chengalpattu Total Area 4.43 Acres Built Up Area Whether Inherited N Purchase Date 2022-06-14 Purchase Cost 0.00 Development Cost 0.00 88,10,000 88 Lacs+ Vellakinar, Coimbatore Total Area 1.79 Acre Built Up Area Whether Inherited N Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 1,21,62,240 1 Crore+ Vellakinar, Coimbatore Total Area 0.37 Acres Built Up Area Whether Inherited N Purchase Date 1997-05-06 Purchase Cost 0.00 Development Cost 0.00 25,13,982 25 Lacs+",Nil,Nil,Nil,Nil,"Rs 50,96,58,987 50 Crore+",50965898750.0
222,Details of Immovable Assets,ii,Non Agricultural Land,Nil,"Mamallapuram Total Area 17.23 Acres Built Up Area Whether Inherited Y Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 43,07,50,000 43 Crore+",Nil,Nil,Nil,Nil,"Rs 43,07,50,000 43 Crore+",43075000043.0
222,Details of Immovable Assets,iii,Commercial Buildings,Nil,"No. 50, 11th Street, Tatabad, Coimbatore Total Area 7197 sq. ft. Built Up Area 5017 sq. ft. Whether Inherited Y Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 4,07,54,740 4 Crore+ No. 1008, Cross Cut Road, Gandhipuram Coimbatore Total Area 8481.75 sq. ft. Built Up Area Whether Inherited Y Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 19,10,46,040 19 Crore+ Door No. 102, R.S. Puram on West Thiruvenkatasamy Road, Coimbatore South Taluk, Coimbatore Total Area 4089.31 sq. ft. Built Up Area Whether Inherited N Purchase Date 2020-08-26 Purchase Cost 24414000.00 Development Cost 0.00 2,66,28,722 2 Crore+ Old T.S. Nos 8/109 & 8/102 T.S. No. 8/366/10 part Total Area 14428 sq. ft. Built Up Area Whether Inherited Y Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 9,26,83,600 9 Crore+ No. 19 Cenotaph Road, Rathna Nagar Teynampet Chennai Total Area 3315 sq. ft. Built Up Area Whether Inherited Y Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 5,94,87,500 5 Crore+ Old No. 111 & 112 New No. 64 Total Area 3665 sq. ft. Built Up Area Whether Inherited N Purchase Date 0000-00-00 Purchase Cost 0.00 Development Cost 0.00 23,50,99,000 23 Crore+",Nil,Nil,Nil,Nil,"Rs 64,56,99,602 64 Crore+",64569960264.0
