candidate_id,section,sr_no,description,self,spouse,huf,dependent1,dependent2,dependent3,total,total_inr
4026,Details of Movable Assets,i,Cash,"25,000 25 Thou+","50,000 50 Thou+",Nil,Nil,Nil,Nil,"Rs 75,000 75 Thou+",7500075.0
4026,Details of Movable Assets,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI, Vellachery West Br 2,000 2 Thou+ ICICI Bank Velapanchavadi 13,330 13 Thou+","Indusind Bank, Sri Perambudur 17,294 17 Thou+ Indian Bank, Nolambur Br 223 2 Hund+",Nil,Nil,Nil,Nil,"Rs 32,847 32 Thou+",3284732.0
4026,Details of Movable Assets,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Movable Assets,iv,"(a) NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Movable Assets,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
4026,Details of Movable Assets,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Movable Assets,vi,"Motor Vehicles (details of make, etc.)",Nil,"Car Bolero TN 12 AW 6688 Lorry 10,00,000 10 Lacs+ Lorry KA 01 AJ 0033 12,00,000 12 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,00,000 22 Lacs+",220000022.0
4026,Details of Movable Assets,vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Movable Assets,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
4026,Details of Movable Assets,Gross Total Value (as per Affidavit),"40,330 40 Thou+","22,17,517 22 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,57,847 22 Lacs+",,
4026,Details of Movable Assets,Totals (Calculated as Sum of Values),"Rs 40,330 40 Thou+","Rs 22,67,517 22 Lacs+",Nil,Nil,Nil,Nil,"Rs 23,07,847 23 Lacs+",,
222,Details of Movable Assets,i,Cash,"1,69,90,582 1 Crore+","12,22,799 12 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,82,13,381 1 Crore+",182133811.0
222,Details of Movable Assets,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","IOB , C.I.T Nagar ( election account) 51,000 51 Thou+ Axis Bank , Eldams Road 1,95,17,171 1 Crore+ Equitas Bank, Parrys 37,83,969 37 Lacs+ HSBC , Chennai 18,37,612 18 Lacs+ Karur Vysya Bank, White Road 3,50,397 3 Lacs+ SBI , Alwarpet 6,23,383 6 Lacs+ Punjab National Bank, Jor Bagh 10,73,071 10 Lacs+ HDFC , Anna Salai 79,15,710 79 Lacs+ HDFC , Anna Salai 1,60,468 1 Lacs+ HDFC , Anna Salai 10,00,00,000 10 Crore+ Axis Bank,Eldams Road 4,00,00,000 4 Crore+","Axis Bank,Eldams Road 9,29,77,272 9 Crore+ IDFC First Bank,Radhakrishnan Salai 3,19,29,281 3 Crore+",Nil,Nil,Nil,Nil,"Rs 30,02,19,334 30 Crore+",30021933430.0
